archetype,flow_type,material_name,ei_activity,role_process_stage,value,unit,reference flow,source
High-grade U mine + mill,Materials,Lime (CaO),market for lime,Neutralisation of acidic residues,25.0,kg,t ore processed,Key Lake / McClean Lake
High-grade U mine + mill,Materials,Organic solvent (SX),"market for chemical, organic",Uranium purification,0.2,kg,t ore processed,IAEA Uranium Processing
High-grade U mine + mill,Materials,Sulfuric acid (H₂SO₄),market for sulfuric acid,Uranium leaching,50.0,kg,t ore processed,Cameco / Orano tech reports
High-grade U mine + mill,Water,Water consumption,,,,m3,t ore processed,
Ni–Cu sulfide,Materials,Carboxymethyl cellulose,"market for carboxymethyl cellulose, powder",Talc/serpentine depression,0.2,kg,t ore processed,Raglan concentrator
Ni–Cu sulfide,Materials,Copper sulfate,market for copper sulfate,Pentlandite activation,0.05,kg,t ore processed,Nickel flotation literature
Ni–Cu sulfide,Materials,Frother (MIBC),"market for chemical, organic",Flotation froth,0.02,kg,t ore processed,Wills & Finch
Ni–Cu sulfide,Materials,Lime (CaO),market for lime,"pH control, pyrrhotite depression",1.5,kg,t ore processed,Xinhai; Raglan data
Ni–Cu sulfide,Water,Water consumption,,,,m3,t ore processed,
Ni–Cu sulfide,Materials,Xanthate collector,market for sodium ethyl xanthate,Ni–Cu flotation,0.1,kg,t ore processed,Wills & Finch
